lng,lat,avg_tmpr_c,wthr_date,city,country
2.316,48.873,16.88,2022-09-03,Paris,FR
85.356,27.722,19.39,2022-08-21,Alliance,US
-0.155,51.510,12.28,2021-10-15,London,GB
-0.130,51.527,14.19,2022-09-22,London,GB
-123.291,42.944,23.85,2022-08-09,Canyonville,US
-109.058,44.526,13.46,2022-09-17,Cody,US
2.173,41.388,24.36,2022-08-26,Barcelona,ES
2.324,48.856,8.98,2021-10-08,Paris,FR
-0.105,51.536,14.28,2022-09-02,London,GB
9.145,45.479,21.95,2022-08-13,Milan,IT
2.341,48.849,18.13,2022-08-17,Paris,FR
9.183,45.468,24.13,2022-08-30,Milan,IT
-90.057,37.968,18.99,2021-10-14,Sainte Genevieve,US
-0.118,51.517,10.15,2022-09-18,London,GB
-0.152,51.506,16.76,2022-08-24,London,GB
-0.168,51.529,17.16,2022-08-24,London,GB
2.347,48.850,10.98,2021-10-26,Paris,FR
-111.403,40.911,20.26,2022-08-25,Coalville,US
-0.183,51.492,14.42,2022-08-05,London,GB
9.145,45.501,14.09,2022-09-19,Milan,IT
2.302,48.873,17.28,2022-09-03,Paris,FR
-90.495,38.771,18.08,2022-09-04,Saint Charles,US
-75.984,36.848,25.00,2021-09-30,Virginia Beach,US
-90.071,29.952,29.41,2022-08-19,New Orleans,US
-90.066,29.962,28.79,2022-08-12,New Orleans,US
-0.089,51.528,15.93,2022-08-06,London,GB
-0.306,51.512,15.54,2022-08-06,London,GB
9.202,45.487,14.12,2022-09-19,Milan,IT
-0.183,51.513,14.61,2022-09-22,London,GB
-75.054,38.432,23.89,2022-09-19,Ocean City,US
9.187,45.456,18.39,2022-09-11,Milan,IT
-0.120,51.516,15.78,2022-08-06,London,GB
4.989,52.359,15.71,2022-09-27,Amsterdam,NL
-0.078,51.503,13.65,2022-09-19,London,GB
-87.940,43.559,15.81,2022-08-25,Random Lake,US
4.883,52.373,17.24,2022-08-10,Amsterdam,NL
-0.156,51.497,15.76,2022-08-17,London,GB
-77.780,40.883,12.76,2021-10-05,Bellefonte,US
-84.870,35.210,23.06,2022-09-26,Cleveland,US
2.295,48.878,6.86,2021-10-21,Paris,FR
-0.128,51.518,12.46,2021-10-15,London,GB
9.201,45.490,23.72,2022-08-30,Milan,IT
-0.154,51.519,16.08,2022-08-06,London,GB
9.231,45.438,10.43,2021-10-23,Milan,IT
-0.206,51.497,15.09,2022-08-05,London,GB
2.292,48.880,10.37,2021-10-30,Paris,FR
-0.136,51.517,15.60,2022-08-06,London,GB
6.558,51.296,9.44,2021-10-13,Terre Haute,US
4.904,52.374,14.75,2022-08-30,Amsterdam,NL
-115.146,36.172,31.51,2022-08-15,Las Vegas,US
-74.337,44.305,10.98,2022-08-25,Saranac Lake,US
-0.213,51.505,13.63,2022-09-02,London,GB
-49.281,-25.437,20.59,2022-09-15,Curitiba,US
2.333,48.866,19.38,2022-08-14,Paris,FR
-90.495,38.771,20.72,2022-08-30,Saint Charles,US
2.219,41.410,17.51,2021-10-27,Barcelona,ES
2.130,41.400,17.19,2021-10-27,Barcelona,ES
2.332,48.864,17.83,2022-08-17,Paris,FR
-87.869,41.093,17.48,2022-08-23,Kankakee,US
-105.674,33.352,17.26,2022-08-16,Ruidoso,US
9.208,45.484,23.68,2022-08-05,Milan,IT
-87.954,41.847,20.84,2022-09-03,Oak Brook,US
-83.012,40.114,8.18,2021-10-25,Columbus,US
2.301,48.887,17.53,2022-09-28,Paris,FR
-84.127,36.588,12.67,2022-09-10,Jellico,US
-103.714,35.172,23.29,2022-07-31,Tucumcari,US
-97.715,31.434,28.27,2022-09-20,Gatesville,US
-0.119,51.495,10.83,2021-10-11,London,GB
9.173,45.441,18.06,2022-09-11,Milan,IT
-103.395,33.382,23.98,2022-08-14,Tatum,US
-80.166,41.143,23.60,2022-08-17,Mercer,US
9.228,45.502,12.00,2021-10-15,Milan,IT
-91.135,37.715,19.89,2022-08-28,Viburnum,US
2.284,48.830,10.57,2021-10-02,Paris,FR
-106.830,39.660,11.26,2021-10-29,Eagle,US
-0.171,51.520,10.47,2022-09-18,Paddington,GB
4.939,52.314,16.79,2022-08-09,Amsterdam Zuidoost,NL
9.192,45.458,23.43,2022-08-30,Milan,IT
-97.973,35.505,21.37,2022-09-12,El Reno,US
-80.159,26.231,23.43,2021-10-19,Pompano Beach,US
-122.358,40.578,32.11,2022-09-03,Redding,US
-95.403,29.681,28.20,2022-09-19,Houston,US
2.173,41.391,24.17,2022-08-26,Barcelona,ES
-98.428,45.459,15.49,2021-10-15,Aberdeen,US
-101.474,36.690,23.43,2022-08-16,Guymon,US
2.289,48.850,19.77,2022-08-14,Paris,FR
2.157,41.392,16.99,2021-10-27,Barcelona,ES
-0.142,51.519,10.38,2022-09-18,London,GB
-111.714,33.416,28.70,2021-10-19,Mesa,US
-0.146,51.540,15.53,2022-08-06,London,GB
9.191,45.461,23.54,2022-08-30,Milan,IT
-75.592,41.494,20.04,2022-09-13,Archbald,US
-0.057,51.515,10.32,2022-09-18,London,GB
2.339,48.852,11.60,2021-10-26,Paris,FR
-92.646,41.324,17.26,2021-10-02,Oskaloosa,US
-109.547,36.151,21.94,2022-08-16,Chinle,US
-87.626,41.886,26.46,2022-09-23,Chicago,US
2.329,48.865,17.30,2022-08-13,Paris,FR
2.166,41.392,24.11,2022-08-26,Barcelona,ES
-79.932,40.453,7.25,2021-10-27,Pittsburgh,US
-68.771,44.569,13.85,2022-09-01,Bucksport,US
-81.918,40.554,21.36,2022-09-17,Millersburg,US
-0.138,51.512,13.98,2022-09-02,London,GB
2.338,48.891,10.99,2021-10-30,Paris,FR
-76.298,39.989,20.98,2022-09-21,Lancaster,US
-0.153,51.522,12.06,2021-10-15,London,GB
2.334,48.853,8.93,2021-10-08,Paris,FR
-122.409,37.618,15.00,2022-09-07,San Bruno,US
2.345,48.887,10.63,2021-10-30,Paris,FR
2.324,48.846,10.93,2021-10-26,Paris,FR
-0.153,51.522,14.22,2022-09-02,London,GB
2.342,48.845,18.10,2022-09-28,Paris,FR
2.330,48.865,18.32,2022-09-28,Paris,FR
2.333,48.855,19.30,2022-08-14,Paris,FR
2.282,48.882,18.14,2022-09-28,Paris,FR
2.148,41.402,24.63,2022-08-26,Barcelona,ES
-106.817,39.186,11.40,2022-09-02,Aspen,US
-0.184,51.513,8.07,2021-10-09,London,GB
-103.815,44.479,21.85,2022-08-31,Spearfish,US
-123.806,39.438,13.77,2022-08-03,Fort Bragg,US
9.187,45.469,10.81,2021-10-23,Milan,IT
-77.475,37.566,22.29,2022-08-09,Richmond,US
9.195,45.469,11.67,2021-10-05,Milan,IT
-0.193,51.495,9.98,2021-10-11,London,GB
-123.803,39.426,14.24,2021-10-24,Fort Bragg,US
9.183,45.489,24.18,2022-08-05,Milan,IT
2.307,48.873,18.26,2022-09-28,Paris,FR
-88.298,39.682,16.36,2021-10-06,Arcola,US
-0.158,51.515,15.76,2022-08-06,London,GB
-96.557,39.180,21.07,2022-09-29,Manhattan,US
-0.123,51.529,14.53,2022-09-22,London,GB
-77.072,38.895,14.93,2021-10-04,Arlington,US
2.304,48.862,10.31,2021-10-02,Paris,FR
-0.183,51.513,13.43,2022-09-02,London,GB
2.294,48.876,7.35,2021-10-21,Paris,FR
-93.509,44.801,14.14,2021-10-04,Shakopee,US
-0.158,51.497,15.13,2022-08-05,London,GB
2.187,41.411,24.21,2022-08-26,Barcelona,ES
-0.057,51.515,8.16,2021-10-09,London,GB
-93.155,44.971,9.67,2021-10-22,Saint Paul,US
2.305,48.855,19.22,2022-08-14,Paris,FR
2.352,48.871,8.30,2021-10-12,Paris,FR
9.191,45.465,14.43,2022-09-19,Milan,IT
2.362,48.862,17.98,2022-08-13,Paris,FR
-0.123,51.521,14.54,2022-09-22,London,GB
-85.208,34.991,17.33,2021-10-09,Chattanooga,US
-96.253,41.097,20.98,2022-09-03,Gretna,US
2.112,41.394,17.41,2021-10-27,Barcelona,ES
-90.020,38.642,25.36,2021-10-16,Caseyville,US
-0.188,51.510,13.89,2022-09-22,London,GB
-0.172,51.516,15.63,2022-08-06,Paddington,GB
2.366,48.856,18.06,2022-08-13,Paris,FR
9.119,45.514,15.17,2022-09-19,Milan,IT
-101.846,33.536,24.38,2022-08-02,Lubbock,US
2.214,41.404,24.68,2022-08-26,Barcelona,ES
-124.192,40.768,13.51,2022-09-08,Eureka,US
2.342,48.843,17.63,2022-08-13,Paris,FR
-0.088,51.516,10.92,2022-09-18,London,GB
2.405,48.843,10.77,2021-10-02,Paris,FR
-89.769,43.479,4.73,2021-10-26,Baraboo,US
-71.561,44.267,10.04,2021-10-11,Twin Mountain,US
-0.134,51.514,15.90,2022-08-06,London,GB
2.309,48.872,8.06,2021-10-12,Paris,FR
2.283,48.866,8.44,2021-10-08,Paris,FR
2.341,48.864,19.74,2022-08-14,Paris,FR
2.331,48.868,17.10,2022-09-03,Paris,FR
2.295,48.886,10.81,2021-10-30,Paris,FR
-95.593,35.303,26.74,2022-09-18,Eufaula,US
2.325,48.875,16.71,2022-09-03,Paris,FR
-109.084,44.517,4.55,2022-09-23,Cody,US
2.353,48.868,8.02,2021-10-12,Paris,FR
-79.098,33.470,21.33,2022-09-06,Pawleys Island,US
-83.328,44.408,21.97,2022-08-19,Oscoda,US
2.385,48.897,8.16,2021-10-12,Paris,FR
-114.536,42.578,26.60,2022-08-01,Twin Falls,US
-80.331,26.124,28.85,2022-08-15,Fort Lauderdale,US
-117.915,33.797,18.09,2021-10-25,Anaheim,US
2.297,48.870,6.93,2021-10-21,Paris,FR
-80.988,35.987,11.63,2021-10-10,Statesville,US
-0.150,51.510,8.02,2021-10-09,London,GB
-75.651,40.810,20.85,2022-09-18,Palmerton,US
-74.931,42.701,13.62,2022-08-30,Cooperstown,US
-0.077,51.511,16.73,2022-08-24,London,GB
-123.882,45.690,11.48,2022-09-18,Wheeler,US
-0.104,51.523,10.08,2022-09-18,London,GB
-100.424,45.537,18.92,2022-08-06,Mobridge,US
-0.171,51.521,12.31,2021-10-15,Paddington,GB
-0.095,51.505,14.29,2022-09-02,London,GB
2.299,48.881,18.09,2022-08-17,Paris,FR
-89.809,35.205,12.23,2021-10-20,Memphis,US
9.204,45.483,18.38,2022-09-11,Milan,IT
9.212,45.481,21.96,2022-08-13,Milan,IT
2.161,41.375,24.98,2022-08-26,Barcelona,ES
9.180,45.459,24.37,2022-08-05,Milan,IT
-112.859,42.776,21.10,2022-08-18,American Falls,US
2.321,48.835,17.19,2022-08-13,Paris,FR
-0.141,51.494,15.78,2022-08-17,London,GB
-91.135,37.715,23.16,2022-09-18,Viburnum,US
-120.944,47.196,8.40,2022-09-23,Leavenworth,US
-98.848,48.101,9.44,2022-09-28,Devils Lake,US
-0.117,51.513,14.34,2022-09-02,London,GB
-86.228,45.952,10.79,2022-09-28,Manistique,US
2.301,48.861,17.65,2022-08-13,Paris,FR
4.916,52.361,16.89,2022-08-10,Amsterdam,NL
-74.073,41.505,16.02,2021-10-02,Newburgh,US
2.388,48.854,19.43,2022-08-14,Carrollton,US
4.989,52.359,15.42,2022-09-06,Amsterdam,NL
-84.370,35.506,22.73,2022-09-17,Madisonville,US
4.844,52.368,19.03,2022-08-02,Amsterdam,NL
-78.742,42.990,21.62,2022-09-26,Hobart,US
2.328,48.872,8.39,2021-10-12,Paris,FR
2.381,48.854,17.94,2022-08-17,Paris,FR
2.341,48.875,10.36,2021-10-30,Paris,FR
-103.250,44.080,13.99,2022-09-19,Rapid City,US
9.192,45.466,25.65,2022-08-16,Milan,IT
9.184,45.463,14.70,2022-09-19,Milan,IT
2.278,48.852,8.30,2021-10-08,Paris,FR
-111.506,40.651,6.75,2021-10-03,Park City,US
-75.551,39.698,23.30,2022-08-02,New Castle,US
-84.127,36.588,24.07,2022-08-19,Jellico,US
9.190,45.481,17.63,2022-09-11,Milan,IT
-79.399,39.421,10.89,2021-10-14,Oakland,US
2.157,41.392,24.32,2022-08-26,Barcelona,ES
2.381,48.838,18.27,2022-08-17,Paris,FR
-104.727,38.808,18.94,2022-08-03,Colorado Springs,US
-80.697,37.073,20.72,2022-09-25,Dublin,US
2.282,48.865,19.04,2022-08-14,Paris,FR
9.196,45.474,22.52,2022-08-13,Milan,IT
2.357,48.833,17.83,2022-08-17,Paris,FR
-75.626,40.362,17.35,2022-08-26,Exton,US
9.192,45.457,10.43,2021-10-23,Milan,IT
-94.357,38.903,21.80,2022-08-06,Lees Summit,US
-0.160,51.493,15.31,2022-08-05,London,GB
2.146,41.381,16.78,2021-10-27,Barcelona,ES
-83.815,39.895,14.08,2022-08-31,Springfield,US
4.891,52.350,14.48,2022-08-30,Amsterdam,NL
-86.317,43.409,10.13,2021-10-23,Whitehall,US
-91.199,32.385,24.20,2022-08-31,Tallulah,US
-78.201,40.340,22.23,2022-08-01,Entriken,US
2.297,48.869,18.20,2022-09-28,Paris,FR
4.884,52.349,16.57,2022-08-10,Amsterdam,NL
-0.138,51.524,14.24,2022-09-02,London,GB
4.878,52.362,17.35,2022-08-10,Amsterdam,NL
9.183,45.467,12.30,2021-10-15,Milan,IT
4.890,52.373,14.27,2022-08-30,Amsterdam,NL
2.345,48.879,17.57,2022-08-17,Paris,FR
2.284,48.876,7.68,2021-10-21,Paris,FR
-0.161,51.515,17.48,2022-08-24,London,GB
2.333,48.884,10.28,2021-10-30,Paris,FR
-0.047,51.522,7.94,2021-10-09,London,GB
-73.815,42.687,15.93,2022-08-26,Albany,US
9.069,45.459,17.28,2022-08-10,Milan,IT
2.293,48.850,19.55,2022-08-14,Paris,FR
-95.922,34.686,25.26,2022-08-03,Kiowa,US
-83.619,41.375,18.47,2022-09-12,Bowling Green,US
-112.052,43.495,8.81,2021-10-22,Idaho Falls,US
-89.954,37.883,21.88,2022-08-25,Saint Mary,US
9.189,45.465,10.75,2021-10-23,Milan,IT
2.305,48.875,6.85,2021-10-21,Paris,FR
-0.183,51.519,11.62,2021-10-15,London,GB
2.350,48.874,9.72,2021-10-18,Paris,FR
-122.030,37.392,15.53,2021-10-21,Sunnyvale,US
2.335,48.870,7.15,2021-10-21,Paris,FR
-114.882,39.251,20.04,2022-08-09,Ely,US
-0.136,51.494,15.50,2022-08-17,London,GB
9.190,45.465,23.73,2022-08-30,Milan,IT
-0.127,51.510,11.63,2021-10-15,London,GB
2.297,48.870,16.77,2022-09-03,Paris,FR
-117.298,45.423,4.06,2021-09-30,Enterprise,US
-0.183,51.514,8.77,2021-10-09,London,GB
-91.528,31.616,19.08,2022-09-06,Ferriday,US
-123.290,42.941,24.59,2022-08-31,Canyonville,US
-110.877,32.220,25.24,2021-10-25,Tucson,US
-0.226,51.505,13.91,2022-09-02,London,GB
2.301,48.869,8.96,2021-10-18,Paris,FR
-105.674,33.352,15.62,2021-10-24,Ruidoso,US
-0.163,51.502,15.67,2022-08-17,London,GB
-0.192,51.494,13.97,2022-09-19,London,GB
2.328,48.881,7.69,2021-10-21,Paris,FR
2.331,48.869,10.35,2021-10-30,Paris,FR
2.298,48.872,17.53,2022-08-17,Paris,FR
-87.794,41.557,26.50,2022-09-21,Tinley Park,US
-0.076,51.512,16.04,2022-08-06,London,GB
-0.076,51.513,12.16,2021-10-15,London,GB
-69.910,18.458,26.39,2021-10-04,New York,US
6.540,45.314,2.88,2022-08-10,Lebanon,US
-4.426,36.715,23.72,2022-08-18,Ballentine,US
-0.162,51.492,15.96,2022-08-17,London,GB
-76.847,39.176,14.01,2021-10-28,Columbia,US
2.347,48.849,11.10,2021-10-02,Paris,FR
-82.740,28.115,28.09,2022-08-26,Palm Harbor,US
2.350,48.874,18.20,2022-09-28,Paris,FR
-121.351,38.006,23.28,2022-08-12,Stockton,US
-0.007,51.543,15.67,2022-08-06,London,GB
2.170,41.390,24.96,2022-08-26,Barcelona,ES
2.352,48.871,17.52,2022-09-28,Paris,FR
-0.186,51.501,15.94,2022-07-31,London,GB
2.359,48.876,10.79,2021-10-30,Paris,FR
-76.331,40.057,20.82,2022-09-21,Lancaster,US
-119.613,36.563,28.34,2022-08-23,Selma,US
-82.429,28.899,27.26,2022-09-23,Hernando,US
-71.243,43.262,2.22,2021-10-26,Northwood,US
-117.917,33.788,17.67,2021-10-25,Garden Grove,US
2.366,48.848,10.99,2021-10-02,Paris,FR
-93.129,36.260,18.29,2022-09-28,Harrison,US
85.356,27.722,16.79,2021-10-23,Alliance,US
-122.021,36.965,16.21,2022-09-14,Santa Cruz,US
2.374,48.852,18.01,2022-08-13,Paris,FR
-117.815,44.782,15.51,2022-08-14,Baker City,US
-94.210,46.984,2.89,2021-10-11,Longville,US
2.164,41.388,17.26,2021-10-27,Barcelona,ES
-0.159,51.515,14.13,2022-09-02,London,GB
-0.081,51.517,14.28,2022-09-02,London,GB
-99.765,32.404,27.93,2022-08-12,Abilene,US
-0.263,51.521,15.34,2022-08-06,London,GB
2.166,41.390,17.57,2021-10-27,Barcelona,ES
2.354,48.873,18.17,2022-08-17,Paris,FR
-99.147,19.435,15.31,2022-09-19,Bristol,US
-0.142,51.519,8.02,2021-10-09,London,GB
-90.175,38.629,24.10,2022-08-16,East Saint Louis,US
-89.093,30.425,26.05,2022-09-01,Gulfport,US
-71.243,43.262,20.30,2022-08-20,Northwood,US
-0.212,51.520,14.31,2022-09-22,London,GB
-86.587,32.803,25.34,2022-09-21,Clanton,US
-0.158,51.520,11.92,2021-10-15,London,GB
2.173,41.405,24.61,2022-08-26,Barcelona,ES
-115.313,36.159,18.98,2022-09-14,Las Vegas,US
2.348,48.849,10.92,2021-10-02,Paris,FR
2.332,48.857,11.60,2021-10-26,Paris,FR
-96.557,39.180,25.69,2022-09-02,Manhattan,US
-87.937,42.008,16.28,2021-10-14,Elk Grove Village,US
-80.873,35.440,15.93,2021-10-14,Huntersville,US
-0.191,51.494,10.56,2021-10-11,London,GB
-88.244,40.131,25.27,2022-08-20,Champaign,US
2.356,48.879,6.94,2021-10-21,Paris,FR
16.406,48.151,9.57,2022-09-18,Vienna,AT
4.896,52.368,18.74,2022-08-03,Amsterdam,NL
-0.047,51.522,14.38,2022-09-22,London,GB
2.327,48.871,11.05,2021-10-30,Paris,FR
2.369,48.864,7.09,2021-10-22,Paris,FR
2.299,48.841,19.05,2022-08-14,Paris,FR
-0.091,51.514,13.53,2022-09-02,London,GB
9.189,45.465,12.73,2021-10-15,Milan,IT
-0.106,51.499,16.28,2022-08-17,London,GB
2.343,48.874,9.33,2021-10-18,Paris,FR
2.176,41.385,24.87,2022-08-26,Barcelona,ES
-0.132,51.508,8.46,2021-10-09,London,GB
9.228,45.502,25.22,2022-08-16,Milan,IT
9.207,45.468,10.78,2021-10-23,Milan,IT
-0.183,51.496,10.33,2021-10-11,London,GB
-80.602,36.481,24.88,2022-08-18,Mount Airy,US
-80.137,26.106,26.69,2021-10-08,Fort Lauderdale,US
-83.891,43.597,25.20,2022-09-23,Bay City,US
2.375,48.845,18.94,2022-08-14,Paris,FR
2.334,48.884,7.02,2021-10-21,Paris,FR
9.209,45.478,12.05,2021-10-15,Milan,IT
9.204,45.479,22.54,2022-08-13,Milan,IT
-0.152,51.513,12.32,2021-10-15,London,GB
-0.076,51.524,13.87,2022-09-22,London,GB
2.146,41.381,24.32,2022-08-26,Barcelona,ES
-0.150,51.505,10.91,2022-09-18,London,GB
9.192,45.451,12.40,2021-10-05,Milan,IT
2.330,48.866,7.31,2021-10-22,Paris,FR
-89.857,34.964,15.60,2022-09-11,Olive Branch,US
-0.273,51.508,15.58,2022-08-06,London,GB
9.145,45.479,11.61,2021-10-05,Milan,IT
-93.150,36.705,27.14,2022-08-19,Rockaway Beach,US
2.311,48.861,17.55,2022-08-17,Paris,FR
2.136,41.389,17.41,2021-10-27,Barcelona,ES
2.326,48.847,17.89,2022-08-13,Paris,FR
-74.671,40.304,14.30,2022-09-08,Princeton,US
-0.179,51.493,15.35,2022-08-05,London,GB
2.319,48.873,8.05,2021-10-12,Paris,FR
-80.039,42.071,20.83,2022-09-20,Erie,US
2.218,41.408,17.51,2021-10-27,Barcelona,ES
-0.146,51.540,10.77,2022-09-18,London,GB
-117.915,33.802,24.78,2022-08-27,Anaheim,US
-84.618,37.072,16.24,2021-10-11,Somerset,US
2.279,48.833,9.12,2021-10-08,Paris,FR
2.333,48.868,17.68,2022-08-17,Paris,FR
9.173,45.441,24.39,2022-08-05,Milan,IT
-88.949,38.311,12.92,2021-10-24,Mount Vernon,US
2.300,48.868,17.71,2022-09-28,Paris,FR
2.326,48.866,11.71,2021-10-26,Paris,FR
-77.051,38.849,14.60,2021-10-08,Arlington,US
9.206,45.485,24.23,2022-08-05,Milan,IT
-97.959,26.172,23.98,2021-10-29,Weslaco,US
-123.930,45.991,17.91,2022-08-03,Seaside,US
-121.435,37.762,27.98,2022-09-03,Tracy,US
-76.331,40.057,21.27,2022-08-09,Lancaster,US
-79.731,34.266,25.25,2022-08-25,Florence,US
-0.186,51.495,15.57,2022-08-17,London,GB
-81.149,32.103,21.44,2021-10-13,Savannah,US
-97.060,32.784,25.29,2021-10-11,Grand Prairie,US
2.343,48.849,18.05,2022-08-13,Paris,FR
2.304,48.862,7.35,2021-10-22,Paris,FR
-0.104,51.523,16.06,2022-08-06,London,GB
-84.085,36.163,21.66,2021-10-17,Clinton,US
9.183,45.485,24.02,2022-08-05,Milan,IT
-87.626,41.886,22.53,2022-08-13,Chicago,US
2.347,48.861,17.99,2022-09-28,Paris,FR
2.289,48.869,17.40,2022-09-28,Paris,FR
2.311,48.870,9.32,2021-10-18,Paris,FR
-83.391,42.059,19.14,2022-08-05,Carleton,US
-0.188,51.510,16.99,2022-08-24,London,GB
-71.076,42.295,22.01,2022-08-02,Boston,US
-99.126,41.782,14.26,2021-10-03,Burwell,US
9.201,45.490,17.86,2022-09-11,Milan,IT
2.333,48.887,8.76,2021-10-12,Paris,FR
-0.148,51.482,10.21,2021-10-11,London,GB
-0.156,51.514,17.28,2022-08-24,London,GB
4.886,52.376,13.41,2021-10-01,Amsterdam,NL
-0.189,51.495,13.17,2022-09-19,London,GB
-76.756,39.184,14.78,2022-09-01,Elkridge,US
-0.217,51.583,10.37,2022-09-18,London,GB
2.345,48.866,11.12,2021-10-02,Paris,FR
2.303,48.867,11.57,2021-10-26,Paris,FR
-80.058,26.465,25.06,2021-10-11,Delray Beach,US
-0.186,51.501,10.85,2021-10-11,London,GB
2.338,48.852,17.96,2022-09-28,Paris,FR
2.302,48.873,8.45,2021-10-12,Paris,FR
2.166,41.390,24.22,2022-08-26,Barcelona,ES
-79.410,35.160,23.18,2022-09-24,Southern Pines,US
-0.122,51.520,12.17,2021-10-15,London,GB
2.338,48.871,16.50,2022-09-03,Paris,FR
2.353,48.868,10.65,2021-10-30,Paris,FR
-0.120,51.516,7.97,2021-10-09,London,GB
4.880,52.327,14.08,2021-10-01,Amsterdam,NL
-124.192,40.768,13.41,2022-09-24,Eureka,US
-105.530,44.294,7.21,2022-09-25,Gillette,US
2.297,48.877,9.65,2021-10-18,Paris,FR
-0.160,51.515,14.35,2022-09-02,London,GB
-95.255,31.965,19.26,2021-09-30,Jacksonville,US
-76.759,39.285,14.80,2022-09-09,Catonsville,US
-83.969,36.014,22.45,2021-10-03,Knoxville,US
4.878,52.362,15.89,2022-08-07,Amsterdam,NL
-0.146,51.506,14.64,2022-09-22,London,GB
-0.119,51.512,15.49,2022-08-06,London,GB
2.293,48.871,8.00,2021-10-12,Paris,FR
2.331,48.843,18.38,2022-08-17,Paris,FR
-93.369,43.650,15.47,2022-09-07,Albert Lea,US
-106.653,35.121,19.19,2021-10-01,Albuquerque,US
-0.113,51.499,10.12,2021-10-11,London,GB
-73.183,44.514,18.24,2022-09-21,Colchester,US
-0.125,51.520,8.38,2021-10-09,London,GB
2.326,48.867,17.51,2022-08-17,Paris,FR
9.167,45.483,25.56,2022-08-16,Milan,IT
-74.337,44.305,17.88,2022-08-08,Saranac Lake,US
9.212,45.485,12.73,2021-10-15,Milan,IT
2.297,48.869,18.28,2022-08-17,Paris,FR
-107.813,37.936,7.74,2022-09-07,Telluride,US
-92.665,38.206,22.90,2022-09-13,Lake Ozark,US
-0.137,51.509,10.38,2022-09-18,London,GB
-0.206,51.457,15.13,2022-08-05,London,GB
9.183,45.489,14.72,2022-09-19,Milan,IT
-0.143,51.494,16.02,2022-07-31,London,GB
2.297,48.869,8.86,2021-10-12,Paris,FR
4.890,52.373,16.77,2022-08-10,Amsterdam,NL
2.278,48.852,11.87,2021-10-26,Paris,FR
-73.939,42.764,17.91,2022-09-12,Schenectady,US
2.174,41.381,24.99,2022-08-26,Barcelona,ES
2.136,41.411,24.49,2022-08-26,Barcelona,ES
2.337,48.882,10.94,2021-10-30,Paris,FR
